Machine_ID,Temperature,Run_Time,Downtime_Flag,Machine_Age,Defect_Type
1,79.96714153011233,62.76577326367827,0,6.137289232025541,Mechanical Failure
2,73.61735698828815,94.18844967661494,0,5.7658434201145266,Mechanical Failure
3,81.47688538100692,107.59183399735068,0,8.252861469217718,Overheating
4,90.23029856408026,176.63062972020572,0,5.4720861276487405,Mechanical Failure
5,72.65846625276664,136.69659373601274,1,4.227954404258604,No Defect
6,72.6586304305082,79.93555292700326,0,3.168489917732879,Electrical Issue
7,90.79212815507391,134.5810886825291,0,5.499218916419424,Overheating
8,82.67434729152909,73.58088033184904,0,0.11859197044983194,Mechanical Failure
9,70.30525614065049,152.4807316166122,0,4.631421996334576,Wear and Tear
10,80.42560043585965,105.86626044546364,0,4.588320280157312,Electrical Issue
11,70.36582307187538,117.19091433782488,1,2.271058292765438,Overheating
12,70.34270246429743,159.7738994262657,0,3.1434683226880082,Wear and Tear
13,77.41962271566034,81.38509294247251,1,6.619315060296483,Wear and Tear
14,55.86719755342202,78.08645444661026,0,5.461423498149925,Mechanical Failure
15,57.75082167486967,102.49202020961985,0,5.203576667414655,Overheating
16,69.37712470759027,151.15136553057948,0,5.6126950678640455,Mechanical Failure
17,64.87168879665576,74.41961773569473,0,5.185255175897847,No Defect
18,78.14247332595274,35.03533205668293,0,7.485725125716629,Wear and Tear
19,65.91975924478788,106.46523424773004,1,5.246858363407298,No Defect
20,60.87696298664709,136.55222399732762,0,2.083573772362499,Mechanical Failure
21,89.65648768921554,156.0078524921649,1,8.26025992974882,Electrical Issue
22,72.74223699513465,106.10515913743804,0,5.740680534657692,Wear and Tear
23,75.67528204687923,107.65720178651992,0,3.8214925384098644,Electrical Issue
24,60.75251813786544,154.61702202767242,0,2.493196563409963,Overheating
25,69.55617275474818,63.90774900913738,0,5.791828441916091,Wear and Tear
26,76.10922589709867,108.34437674450972,1,4.765655990051249,No Defect
27,63.490064225776976,125.71271669775173,0,8.148293572064818,Electrical Issue
28,78.75698018345672,133.47656163855103,0,4.308185438666344,Overheating
29,68.99361310081196,104.70579920427352,0,3.325238420635066,Wear and Tear
30,72.08306250206724,121.03323035117523,0,6.791592436471857,Overheating
31,68.98293387770603,45.35017939761032,0,6.850563785433662,No Defect
